05,PLW,"MST01,PHSN20_E","S3_2,S3_3M,PHSN45_N,MTS01_3,S3_14E,PAUSE1,MTS26_2,PHSN19_E,PAUSE1,S3_10,S3_52",This is<>Pelaw,"This train is for all stations to Benton via Newcastle. The next station is Heworth, change here for local rail and bus services."
06,PLW,"MST01,PHSN20_E","S3_2,S3_3M,PHSN37_N,MTS01_3,S3_14E,PAUSE1,MTS26_2,PHSN19_E,PAUSE1,S3_10,S3_52",This is<>Pelaw,"This train is for all stations to North Shields via Newcastle. The next station is Heworth, change here for local rail and bus services."
10,PLW,"MST01,PHSN20_E","S3_2,S3_3M,PHSN13_N,PAUSE1,MTS26_2,PHSN19_E,PAUSE1,S3_10,S3_52",This is<>Pelaw,"This train is for all stations to Haymarket. The next station is Heworth, change here for local rail and bus services."
14,PLW,"MST01,PHSN20_E","S3_1,S3_4E,PAUSE1,PHSN19_E,PAUSE1,S3_10,S3_52",This is<>Pelaw,"This train terminates at the next station, Heworth.  Change here for local rail and bus services."
20,PLW,"MST01,PHSN20_E","S3_2,S3_3M,PHSN14_N,PAUSE1,MTS26_2,PHSN19_E,PAUSE1,S3_10,S3_52",This is<>Pelaw,"This train is for all stations to Monument. The next station is Heworth, change here for local rail and bus services."
25,PLW,"MST01,PHSN20_E","S3_2,S3_3M,PHSN41_N,MTS01_3,S3_14E,PAUSE1,MTS26_2,PHSN19_E,PAUSE1,S3_10,S3_52",This is<>Pelaw,"This train is for all stations to Monkseaton via Newcastle. The next station is Heworth, change here for local rail and bus services."
31,PLW,"MST01,PHSN20_E","S3_2,S3_3M,PHSN09_N,MTS01_3,S3_14E,PAUSE1,MTS26_2,PHSN19_E,PAUSE1,S3_10,S3_52",This is<>Pelaw,"This train is for all stations to South Gosforth via Newcastle. The next station is Heworth, change here for local rail and bus services."
01,HTH,"MST01,PHSN19_E","MTS26_2,PHSN18_E",This is<>Heworth,The next station is Felling
03,HTH,"MST01,PHSN19_E","MTS26_2,PHSN18_E",This is<>Heworth,The next station is Felling
05,HTH,"MST01,PHSN19_E","MTS26_2,PHSN18_E",This is<>Heworth,The next station is Felling
06,HTH,"MST01,PHSN19_E","MTS26_2,PHSN18_E",This is<>Heworth,The next station is Felling
10,HTH,"MST01,PHSN19_E","MTS26_2,PHSN18_E",This is<>Heworth,The next station is Felling
14,HTH,"MST01,PHSN19_E,PAUSE1,S3_20",,"This is Heworth, this train terminates here.",
20,HTH,"MST01,PHSN19_E","MTS26_2,PHSN18_E",This is<>Heworth,The next station is Felling
25,HTH,"MST01,PHSN19_E","MTS26_2,PHSN18_E",This is<>Heworth,The next station is Felling
