42,UNI,"MST01,PHSN56_E","MTS26_2,PHSN55_E,PAUSE1,S3_10,S3_46",This is<>University,"The next station is Park Lane, change here for local bus services"
44,UNI,"MST01,PHSN56_E","S3_1,S3_4E,PAUSE1,PHSN55_E,PAUSE1,S3_10,S3_46",This is<>University,"This train terminates at the next station, Park Lane.  change here for local bus services"
01,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
03,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
04,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
05,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
10,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
11,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
14,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
20,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
31,PLI,"MST01,PHSN55_E","MTS26_2,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"The next station is Sunderland, for city centre shops, local and national rail services and local bus services."
42,PLI,"MST01,PHSN55_E","S3_1,S3_4E,PAUSE1,PHSN54_E,PAUSE1,S3_61",This is<>Park Lane,"This train terminates at the next station, Sunderland, for city centre shops, local and national rail services and local bus services."
44,PLI,"MST01,PHSN55_E,PAUSE1,S3_20",,"This is Park Lane, this train terminates here",
01,SUN,"MST01,PHSN54_E","MTS26_2,PHSN53_E,PAUSE1,S3_59",This is<>Sunderland,"The next station is St Peters, for the National Glass Centre and riverside."
03,SUN,"MST01,PHSN54_E","MTS26_2,PHSN53_E,PAUSE1,S3_59",This is<>Sunderland,"The next station is St Peters, for the National Glass Centre and riverside."
04,SUN,"MST01,PHSN54_E","MTS26_2,PHSN53_E,PAUSE1,S3_59",This is<>Sunderland,"The next station is St Peters, for the National Glass Centre and riverside."
05,SUN,"MST01,PHSN54_E","MTS26_2,PHSN53_E,PAUSE1,S3_59",This is<>Sunderland,"The next station is St Peters, for the National Glass Centre and riverside."
10,SUN,"MST01,PHSN54_E","MTS26_2,PHSN53_E,PAUSE1,S3_59",This is<>Sunderland,"The next station is St Peters, for the National Glass Centre and riverside."
