female/PHNU27_N,PHNU27
female/PHNU28_E,PHNU28
female/PHNU28_N,PHNU28
female/PHNU29_E,PHNU29
female/PHNU29_N,PHNU29
female/PHNU30_E,PHNU30
female/PHNU30_N,PHNU30
female/PHNU31_E,PHNU31
female/PHNU31_N,PHNU31
female/PHPE01,PHPE01_N
female/PHPE01_E,PHPE01_N
female/PHPE02,PHPE02_N
female/PHPE02_E,PHPE02_N
female/PHPE03,PHPE03_N
female/PHPE03_E,PHPE03_N
female/PHPE04,PHPE04_N
female/PHPE04_E,PHPE04_N
female/PHPE05,PHPE05_N
female/PHPE05_E,PHPE05_N
female/PHPH01,PHPH01_N
female/PHPH01_E,PHPH01_N
female/PHPH02,PHPH02_N
female/PHPH02_E,PHPH02_N
female/PHPH03,PHPH03_N
female/PHPH03_E,PHPH03_N
female/PHPH04,PHPH04_N
female/PHPH04_E,PHPH04_N
female/PHPH05,PHPH05_N
female/PHPH05_E,PHPH05_N
female/PHPH06,PHPH06_N
female/PHPH06_E,PHPH06_N
female/PHPH07_E,S2_37E
female/PHPH07_N,S2_37M
female/PHTD01,PHTD01_E
female/PHTD01_N,PHTD01_E
female/PHTD02,PHTD02_E
female/PHTD02_N,PHTD02_E
female/PHTD03,PHTD03_E
female/PHTD03_N,PHTD03_E
female/PHTD04,PHTD04_E
female/PHTD04_N,PHTD04_E
female/PHTD05,PHTD05_E
female/PHTD05_N,PHTD05_E
female/PHTD06,PHTD06_E
female/PHTD06_N,PHTD06_E
female/PHTD07,PHTD07_E
female/PHTD07_N,PHTD07_E
female/PHTD08,PHTD08_E
female/PHTD08_N,PHTD08_E
female/PHTD09,PHTD09_E
female/PHTD09_N,PHTD09_E
female/PHWE01_E,PHWE01_N
female/PHWE02_E,PHWE02_N
female/PHWE03_E,PHWE03_N
female/PHWE04_E,PHWE04_N
female/PHWE05_E,PHWE05_N
female/PHSN53_E,male/PHSN53_E
female/PHSN53_N,male/PHSN53_N
female/PHSN63_E,
